review,rating
"good choice did overnight stay saturday night mardi gras good choice 3 mins walk bourbon st access bars restaurants clubs nice big clean comfortable room good check valet service let lie following morning, hotel bar middle built open business 2 pretty barmaids distract redecorating work going, reveiwers mentioned resort tax added whats big deal 10 city needs help, website booked overbooked did n't 5 twins requested, not hotels fault did possible make comfortable us.security french quarter excellent large police presence, dodgy looking characters just wits look no problem big city.overall friend said think best night double pretty thought,  ",3.9249719205038107
"n't 4 stars, think not.truth told punta cana beautiful place probably wouldn__Ç_é_ anytime soon, terrible service attitude received stayed resort, simple truth matter negative bad things happened outweighed good things.for starters layout resort stupid, hotels resort restaurants sports bar, attractions need wait 10 minutes train come, need seat packed train wait 10 minutes 15 minute train ride resort visit la cart restaurants, told wait time hour hours party 5 need pager, oh yeah don__Ç_é_ reservations unless stay suites, review read said plenty available not issue, morning group wake 6:30am reserve 5 chairs, 8am not single chair available, learned hard way day.__Ç_àêo like snorkel, scuba, dune buggyy, atv, speedboat, fishing, prepared say yes no times, god annoyed entire life, seriously asked wanted participate activities 20 times day, not exaggerated number, you__Ç_éö washroom span 100 meters 3 different people come binder trying sign something.service overall hit miss, waiters nice tipped extremely, far best bartender entire resort william, usually works swim bar pool deep end, bartenders hit miss, drinks taste don__Ç_é_, there__Ç_é_ no consistency, that__Ç_é_ just bartenders, lobby waiters ask want drink seen, that__Ç_é_ managements fault usually person working entire lobby, restaurant waiters hit miss, browlio works multiple restaurants good waiter opinion, rest waiters just doing job far i__Ç_é concerned, waitress mexican la cart showed attitude asked want__Ç way saying welcome br/ maids things interesting, rooms nice relatively clean, issues, bed covers not washed guests tell smell funky, white bed sheets clean, towels ridiculous, no consistency, maid come morning 9am remove towels, maid come later fresh towels hopefully, feeling did things way didn__Ç_é_ towels rewash towels day, just impractical, maid come make bed guess tidy, tip maid i__Ç_é not sure exactly gets money, funny notes 1 half drank bottle beer tv entire duration visit, previous guests left, curious long maids clean, time left, 2 maids don__Ç_é_ knock hola/hello housekeeping not vocabulary, friends toilet maid walked room washroom knocking door, rooms general quite nice, pictures little misleading, jacuzzi bathtub washroom, pictures saw prior going located main room, case suites, not huge deal little disappointing.food, not bad not great, food things disagree, consider great consider disgusting vice versa, i__Ç_éêl things generalized, selection main buffet great menu day, fried, pan fried deep fried lot oil, la carts bit better terms quality, try getting reservation hour wait minimum 7:30pm, didn__Ç_é_ sick friends did 2 group 5 aren__Ç_é_ good odds note gravel tums pepto bismol, definitely need heart burn citrus alcoholic beverages oil consume, store buy things sunscreen sunglasses clothes souvenirs prepared ripped, tums cost 2.50 cnd 11 usd, sunscreen 5 dollars 20 there.the shops general pretty stupid, priced bad service big surprise don__Ç_é_ hours window don__Ç_é_ believe, you__Ç_éÈe going buy alcohol wait duty free airport.i going think i__Ç_ée point, negative outweighed positive, things suppose make resort 4 star not there.final point recommend place families staff loves kids, obvious glad treating right, went vacation couples, single guys not resort, lol, not stress point, punta cana couples family destination,  ",1.7867635228502343
"excellent, excellent location close times square, really nice modern clean room bit small general american standards hand stayed smaller rooms new york city, great service, great deal highly recommended,  ",4.75168334092213
"good all-around value stayed hotel 3 nights beginning august, pleased experience, not prepared pay high prices hotels felt 134.00 pre night good median rate large city, hotel edge industrial/rundown area no problem walking 10 mins subway morning not sure like, returning twilight walked station, great features hotel free hotel shuttle service runs limited area meant dark subway local station await shuttle instead walking, rooms clean well-appointed 2 tvs fridge microwave internet connection continental breakfast, ks bed suite close door suite pull double sofa bed kids, unfortunately no on-site laundromat end stay, staff helpful knowledgeable,  ",3.930099643495742
"best bet shinjuku need/want shinjuku best big 3 century hyatt keio plaza hilton based room decor facilities service, expensive, executive floors completely renovated ultra modern style include complimentary in-room internet access nicely stocked/service somewhat crowded lounge breakfast evening snacks/cocktails,  ",3.944226961520301
"wonderful wonderful wonderful place vacation paradise, little hidden place oahu, hotel older offer place stayed, begin desk staff checks friendly taken ohana, moment check check help need directions tell opinion good bad places, not say judy desk manager staff.the hotel exceptional housekeeping staff, grounds rooms clean, staff busy cleaning hustling like disneyland clean clean clean.the problem general manager, man short fuse goes employees whim, does guests, lucky spends time office rarely saw,  ",4.939748446031734
"great resort 5-star way just came family holiday impressed resort, say key points resort large, really want quiet getaway recommend smaller, specifically main pool loud crowded lots young children running quiet spot smaller pools secluded area large beachfront.- staff exceptional, friendly courteous professional, best seen home abroad fairmont 5-star cuba, guys outstanding tipping optional, unlike resorts staff not going happen large resort, tip goodness heart not going better service, exception maids gave gifts toiletries wanted to.- breakfast incredible restaurants lunch good main buffet really good suppers le gourment le cafe paris, japanese restaurant average buffet served food lunch, maritimer know good seafood tastes like stay away lobster quite disappointed, likewise alberta stay away steak not home.- new year eve event spectacular really showed class act resort is.- nightly entertainment not good unfortunately, cuba talented performers.overall exceptional heartbeat,  ",4.979144679454952
"great hotel great location spent night hotel mela, room nice, bathroom nice clean products h2o, package included parking breakfast restaurant door excellent, location excellent right times square, overall highly recommend,  ",4.820011097709058
"rated hotel having bali travel agent nz booked friend 13 nights hotel.the hotel big catered 200 people.location 20 mins action kuta beach far away nice peaceful.very handy heaps local shops wee bars eating places.breakfasts absolutely fantastic n't asked better way start day holiday, fully cooked choices die fresh bread pastries choice.our accomodation older parts hotel shared twin room older accomodation block balcony too.the showers good room adequate apart recommendation make bathrooms updated 80 style.the swimming pools excellent clean pristine service hotel good.the bar area main swimming pool proper barrista assisted service round hotel great friendly helpful.we different massage treatments women really lovely price n't bad either.my friend did indonesian cooking class hotel fun really worthwhile learnt lot indonesian cooking try learning cook 4 course lunch chef fun served tarted meal fantastic.all worth staying felt previous reviews did n't really hotel justice,  ",3.5331889486572408
"good hotel good value wife stayed prime hotel early march 2006. hotel fine, not 5-star hotel good, room large comfortable upgraded deluxe room, well-apointed marble bathroom tub separate shower, complaint shower leaked water marble floor.the location convenient major shopping district street close forbidden city, number restaurants nearby small shops buy fruit/bottled water/etc.the weather quite cold early march snow,  ",3.9809887626117657
